About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.872314453125, 'source': 'mta', 'longitude': 10.173454158936, 'latitude': 36.816515344238, 'ignition': True, 'speedKmh': 10.39099041129}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.846130371094, 'source': 'mta', 'longitude': 10.173449038696, 'latitude': 36.816515513306, 'ignition': True, 'speedKmh': 4.3966141070651}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.869873046875, 'source': 'mta', 'longitude': 10.173448017578, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
About to call state.ingest() with payload={'playerId': 'Dhi5a', 'angleDeg': 87.8701171875, 'source': 'mta', 'longitude': 10.17344802063, 'latitude': 36.816515574341, 'ignition': True, 'speedKmh': 0}
